# ── #117 Clara Barton (1821-12-25 – 1912-04-12, American nurse, founder of the American Red Cross; wrote in ENGLISH) corpus ledger ──
#
# columns (TAB separated, 9 of them):
#   short-id <TAB> URL <TAB> title <TAB> year <TAB> where-it-sits <TAB> language <TAB> tier <TAB> flags <TAB> note
#
# ══ HOW THIS LEDGER WAS PRODUCED ══
#   Every URL below was read back out of the '# URL:' header of the .txt that was actually
#   downloaded.  Attempts that failed are in _fetch.log; material that was found and
#   deliberately not taken is in _EXCLUDED.txt.  Nothing here was typed from memory.
#
# ══ TIERS ══
#   P1  text she wrote or signed, in a printing or transcription of that text
#   P2  a degraded carrier of the same text: repeat scan, hand-keyed transcription, later reprint
#   S1  contemporary third party (1860-1915)
#   S2  later study, biography or compilation
#
# ══ THE TIERING DECISION THAT MOVES THE NUMBERS ══
#   Where a volume is overwhelmingly somebody else's and carries only one signed piece of
#   hers (red-cross-1895-doolittle), the FILE is tiered S1, not P1.  Her section is still
#   usable and its exact line range is in _BOUNDARIES.json.  The two big biographies
#   (Epler 1915, W. E. Barton 1922) quote hundreds of her letters verbatim and were still
#   tiered S2, because at document level they are not hers.
#
# ══ RIGHTS ══
#   Published works: she died 1912, so life+70 has long run; every printed item below also
#   carries a title-leaf year of 1930 or earlier, so it is public domain in the US.
#   Unpublished LOC manuscripts: her own papers are public domain under 17 USC 303(a)
#   (unpublished works of an author who died in 1912 entered the public domain 2003-01-01).
#   For the incoming half of a correspondence folder the OTHER writer's death year was
#   checked one by one against Wikidata and is written into column 9; folders whose
#   correspondent could not be dated were NOT taken -- see _EXCLUDED.txt.
#
# ══ WHERE THIS LANDS AGAINST check_corpus_ceiling.py, AND WHAT WAS *NOT* DONE ══
#   208 sources, 135 primary, all 6 lanes.  deep wants 30 primary; there are 135.
#   deep is nonetheless NOT reached, by 0.0010:  135/208 = 0.6490 < 0.65.
#   **The shortfall is a RATIO, not a shortage of her own writing.**  It exists because
#   this harvest also pulled 13 duplicate scans of third-party books (Epler x3,
#   W. E. Barton x5, Young x3, Bacon-Foster x2, Pierce x2, Parkman x2, Pacific-slope x2)
#   into the denominator.
#
#   ★ NOTHING WAS DROPPED TO FIX THIS.  Deleting those rows would put deep green in one
#     command; that is 缩分母, and this project does not accept it.  Every file that was
#     fetched is listed.  Two tiering calls were also left conservative even though
#     flipping either would have crossed 0.65 on its own:
#       - the 17 LOC correspondence folders and 6 speeches-file correspondence folders are
#         S1, not P1, because the measured counts in column 9 show incoming letters dominate;
#       - red-cross-1895-doolittle and womans-work-in-america-1891 are S1, not P1, because
#         at document level they are somebody else's book carrying one signed piece of hers.
#     Six further files were moved DOWN from P1 to S1 after reading them (publisher form
#     contracts, royalty statements, hotel bills) -- that move cost 6 primary and was made
#     anyway.
andersonville-1866	https://archive.org/download/listofunionsoldi00atwa/listofunionsoldi00atwa_djvu.txt	A List of the Union Soldiers Buried at Andersonville. Copied from the Official Record in the Surgeon's Office at Andersonville	1866	New York: Published by the Tribune Association, 154 Nassau Street, 1866（扉页逐字）	en	P1	CO-AUTHORED;FULL-PAGE-SCAN	lane=decisions. ★ 分档理由（写清以便被质疑）：文件级别按「这份文件是谁的工作产物」定档——这是她发起并带队的安德森维尔标墓远征的官方产物，卷内印有她署名的报告（第 250–729 行，末行逐字 'CLARA  BARTON.'）。但全卷三分之二是 Dorence Atwater 的死亡名册，另有他的第一人称自述（第 60–249 行，末行 'DORENCE  ATWATER.'），**那一段绝不可当作她的话**——她从未被俘。边界见 _BOUNDARIES.json。扉页无个人署名，故标 CO-AUTHORED。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1866 早于 1930，美国已入公有领域
rc-peace-war-1910	https://archive.org/download/redcrossinpeacew00bart/redcrossinpeacew00bart_djvu.txt	The Red Cross in Peace and War	1910	后印本；archive.org 记 1910	en	P2	DUPLICATE-SCAN;HIS-OWN	lane=writings. 同一文本的后印本扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1910 早于 1930，美国已入公有领域
rc-peace-war-1912	https://archive.org/download/redcrossinpeacew0000clar/redcrossinpeacew0000clar_djvu.txt	The Red Cross in Peace and War	1912	后印本；archive.org 记 1912	en	P2	DUPLICATE-SCAN;HIS-OWN	lane=writings. 同一文本的后印本扫描；她卒于 1912 年 4 月。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1912 早于 1930，美国已入公有领域
rc-peace-war-GUT	https://www.gutenberg.org/cache/epub/44202/pg44202.txt	The Red Cross in Peace and War	1899	Project Gutenberg 电子书 44202，人工录入而非 OCR；文件头 'Author: Clara Barton'	en	P2	TRANSCRIPTION;HIS-OWN	lane=writings. 人工录入本，行文比任何一次 OCR 都干净，适合当阅读底本；年份取她这本书的初版年。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1899 早于 1930，美国已入公有领域
red-cross-1895-doolittle	https://archive.org/download/redcross00unkngoog/redcross00unkngoog_djvu.txt	The Red Cross: Its Origin, International Character, Development and History, by Laura M. Doolittle; with an Address by Clara Barton	1895	整册扫描；她的 'ADDRESS ... BEFORE THE INTERNATIONAL COUNCIL OF WOMEN, Held in Washington, D. C., March 25 to April 1, 1888' 在第 1849 行至文末	en	S1	THIRD-PARTY;FULL-PAGE-SCAN	lane=expression. ★ 分档决定：整册主体是 Doolittle 的史述，她只占后半的一篇演说，故文件级别列 S1 而非 P1——把这种书提成 P1 会靠技术性做高一手占比。她那一段的行号见 _BOUNDARIES.json。扉页读出 'issued by The American National Red Cross, Washington, D. C., January, 1895'。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1895 早于 1930，美国已入公有领域
relief-reports-1898-99	https://archive.org/download/reportsmay1898ma01amer/reportsmay1898ma01amer_djvu.txt	American National Red Cross Relief Committee: Reports, May 1898-March 1899	1899	扉页逐字 'American National Red Cross Relief Committee / REPORTS / MAY, 1898'	en	S1	THIRD-PARTY	lane=decisions. 美西战争赈济委员会报告集。该委员会与她主持的红十字会本部并非同一机构，文件多为他人署名，故列同时代第三方；其中涉及她的段落不可当作她的话。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1899 早于 1930，美国已入公有领域
story-my-childhood-1907	https://archive.org/download/storyofmychildho00bart/storyofmychildho00bart_djvu.txt	The Story of My Childhood	1907	New York: The Baker & Taylor Co., 1907；版权页 'Copyright, 1907, by The Journal Publishing Co.'	en	P1	HIS-OWN	lane=writings. 扉页读出 'THE STORY OF MY CHILDHOOD / BY CLARA BARTON'。她唯一完成的自传，止于少年时代。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1907 早于 1930，美国已入公有领域
story-my-childhood-1907-DUPSCAN	https://archive.org/download/storymychildhoo00bartgoog/storymychildhoo00bartgoog_djvu.txt	The Story of My Childhood	1907	Google 扫描 storymychildhoo00bartgoog	en	P2	DUPLICATE-SCAN;HIS-OWN	lane=writings. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1907 早于 1930，美国已入公有领域
story-my-childhood-GUT	https://www.gutenberg.org/cache/epub/64704/pg64704.txt	The Story of My Childhood	1907	Project Gutenberg 电子书 64704；文件头 'Author: Clara Barton'	en	P2	TRANSCRIPTION;HIS-OWN	lane=writings. 自传的人工录入本。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1907 早于 1930，美国已入公有领域
story-rc-1904	https://archive.org/download/storyofredcrossg00bart/storyofredcrossg00bart_djvu.txt	A Story of the Red Cross: Glimpses of Field Work	1904	扉页 'BY CLARA BARTON, FOUNDER OF THE AMERICAN NATIONAL RED CROSS AND PRESIDENT, 1881-1904'（扫描把 1881 误识为 1681）	en	P1	HIS-OWN	lane=writings. 扉页读出她的署名与自述职衔；卷首照片题记 'taken in St. Petersburg in July, 1902'。她自己写的救灾现场纪事。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1904 早于 1930，美国已入公有领域
story-rc-1904-DUPSCAN	https://archive.org/download/b24866039/b24866039_djvu.txt	A Story of the Red Cross	1904	Wellcome 扫描 b24866039	en	P2	DUPLICATE-SCAN;HIS-OWN	lane=writings. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1904 早于 1930，美国已入公有领域
story-rc-1904-DUPSCAN2	https://archive.org/download/AStoryOfTheRedCrossGlimpsesOfFieldWork/story_red_cross_Barton_djvu.txt	A Story of the Red Cross: Glimpses of Field Work	1904	archive.org 项 AStoryOfTheRedCrossGlimpsesOfFieldWork	en	P2	DUPLICATE-SCAN;HIS-OWN	lane=writings. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1904 早于 1930，美国已入公有领域
story-rc-1904-DUPSCAN3	https://archive.org/download/astoryredcrossg00bartgoog/astoryredcrossg00bartgoog_djvu.txt	A Story of the Red Cross	1904	Google 扫描 astoryredcrossg00bartgoog	en	P2	DUPLICATE-SCAN;HIS-OWN	lane=writings. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1904 早于 1930，美国已入公有领域
story-rc-1904-DUPSCAN4	https://archive.org/download/astoryredcrossg01bartgoog/astoryredcrossg01bartgoog_djvu.txt	A Story of the Red Cross	1904	Google 扫描 astoryredcrossg01bartgoog	en	P2	DUPLICATE-SCAN;HIS-OWN	lane=writings. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1904 早于 1930，美国已入公有领域
story-rc-1915	https://archive.org/download/storyofredcrossg00bart_0/storyofredcrossg00bart_0_djvu.txt	A Story of the Red Cross	1915	后印本；archive.org 记 1915	en	P2	DUPLICATE-SCAN;HIS-OWN;POSTHUMOUS	lane=writings. 她卒后的重印本，文本同 1904 年版。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1915 早于 1930，美国已入公有领域
story-rc-1917	https://archive.org/download/AStoryOfTheRedCross1917/AStoryOfTheRedCross1917_djvu.txt	A Story of the Red Cross	1917	后印本；archive.org 记 1917	en	P2	DUPLICATE-SCAN;HIS-OWN;POSTHUMOUS	lane=writings. 卒后重印本。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1917 早于 1930，美国已入公有领域
story-rc-1918	https://archive.org/download/AStoryOfTheRedCross1918/AStoryOfTheRedCross1918_djvu.txt	A Story of the Red Cross	1918	后印本；archive.org 记 1918	en	P2	DUPLICATE-SCAN;HIS-OWN;POSTHUMOUS	lane=writings. 卒后重印本。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1918 早于 1930，美国已入公有领域
story-rc-1918-DUPSCAN	https://archive.org/download/storyofredcrossg0000clar/storyofredcrossg0000clar_djvu.txt	A Story of the Red Cross	1918	archive.org 项 storyofredcrossg0000clar	en	P2	DUPLICATE-SCAN;HIS-OWN;POSTHUMOUS	lane=writings. 卒后重印本的另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1918 早于 1930，美国已入公有领域
story-rc-1928	https://archive.org/download/storyofredcross0000clar/storyofredcross0000clar_djvu.txt	A Story of the Red Cross	1928	archive.org 项 storyofredcross0000clar	en	P2	DUPLICATE-SCAN;HIS-OWN;POSTHUMOUS	lane=writings. 1928 年重印本，文本同 1904 年版；1928 年印本在美国亦已入公有领域。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1928 早于 1930，美国已入公有领域
story-rc-GUT	https://archive.org/download/astoryoftheredcr30230gut/30230-8.txt	A Story of the Red Cross: Glimpses of Field Work	1904	Project Gutenberg 电子书 30230，人工录入而非 OCR	en	P2	TRANSCRIPTION;HIS-OWN	lane=writings. 人工录入本，行文干净，适合当阅读底本；年份取正文所据的 1904 年版。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1904 早于 1930，美国已入公有领域
sw-articles-and-other-writings-correspondence-1877-1911-u	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/105/0100/105_0113_0184.txt	Speeches and Writings File, 1849-1947; Articles and other writings; Correspondence, 1877-1911, undated	1877	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.105_0113_0184/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. LOC 众包转录全文。★ 分档决定：这是**两面往还**的信件卷，不是她的单向书信集，文件级别不列 P1。实测：整卷中单独成行、署名为她本人的落款 4 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 60 处。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-articles-and-other-writings-drafts-1858-1908	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/105/0100/105_0185_0238.txt	Speeches and Writings File, 1849-1947; Articles and other writings; Drafts; 1858-1908	1858	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.105_0185_0238/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-articles-and-other-writings-drafts-undated	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/105/0200/105_0239_0410.txt	Speeches and Writings File, 1849-1947; Articles and other writings; Drafts; Undated	undated	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.105_0239_0410/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-articles-and-other-writings-printed-copies-1878-1911-u	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/105/0400/105_0411_0485.txt	Speeches and Writings File, 1849-1947; Articles and other writings; Printed copies, 1878-1911, undated	1878	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.105_0411_0485/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-a-story-of-the-red-cross-contract-1904-undated	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0600/106_0606_0610.txt	Speeches and Writings File, 1849-1947; Books; A Story of the Red Cross; Contract, 1904, undated	1904	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0606_0610/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=decisions. LOC 众包转录全文。出版社格式合同，非她撰写，她只是签约方。正文首句逐字：'Agreement, made in the City of New York on the tenth day of May, 1904, between Clara Barton of Glen Echo, Maryland and D Appleton and Company'。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-a-story-of-the-red-cross-correspondence-1904-190	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0600/106_0611_0622.txt	Speeches and Writings File, 1849-1947; Books; A Story of the Red Cross; Correspondence, 1904-1905, 1919-1925	1904	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0611_0622/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. LOC 众包转录全文。★ 分档决定：这是**两面往还**的信件卷，不是她的单向书信集，文件级别不列 P1。实测：整卷中单独成行、署名为她本人的落款 1 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 0 处。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-a-story-of-the-red-cross-miscellany-1904-undated	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0600/106_0623_0631.txt	Speeches and Writings File, 1849-1947; Books; A Story of the Red Cross; Miscellany, 1904, undated	1904	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0623_0631/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=external. LOC 众包转录全文。卷首是第三方投稿（'If not accepted please return to (Miss) Imogen S. Pierce, 157 Oakwood Boul\'d, Chicago, Ill.'），全卷来源混杂，不可整卷当她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-a-story-of-the-red-cross-proof-sheets-1880-1904	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0600/106_0653_0709.txt	Speeches and Writings File, 1849-1947; Books; A Story of the Red Cross; Proof sheets, 1880-1904	1880	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0653_0709/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-life-of-my-childhood-unpublished-corresponde	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/105/0400/105_0487_0495.txt	Speeches and Writings File, 1849-1947; Books; "The Life of My Childhood" (unpublished); Correspondence, 1903; 1930-1937	1903	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.105_0487_0495/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-life-of-my-childhood-unpublished-drafts-hand	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/105/0400/105_0496_0560.txt	Speeches and Writings File, 1849-1947; Books; "The Life of My Childhood" (unpublished); Drafts; Handwritten copy, undated	undated	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.105_0496_0560/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-life-of-my-childhood-unpublished-drafts-type	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/105/0500/105_0561_0586.txt	Speeches and Writings File, 1849-1947; Books;"The Life of My Childhood" (unpublished); Drafts; Typescript, undated	undated	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.105_0561_0586/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-life-of-my-childhood-unpublished-notes-inclu	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/105/0500/105_0587_0602.txt	Speeches and Writings File, 1849-1947; Books; "The Life of My Childhood" (unpublished); Notes, including pay accounts for 1904-1905, 1904-1905, undated	1904	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.105_0587_0602/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-red-cross-correspondence-1898-1901	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/105/0600/105_0603_0678.txt	Speeches and Writings File, 1849-1947; Books; The Red Cross; Correspondence, 1898-1901	1898	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.105_0603_0678/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. LOC 众包转录全文。★ 分档决定：这是**两面往还**的信件卷，不是她的单向书信集，文件级别不列 P1。实测：整卷中单独成行、署名为她本人的落款 1 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 70 处。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-red-cross-drafts-1884-1898-undated	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/105/0600/105_0679_0766.txt	Speeches and Writings File, 1849-1947; Books; The Red Cross; Drafts, 1884-1898, undated	1884	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.105_0679_0766/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-red-cross-drafts-1884-1898-undated-2	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0000/106_0008_0119.txt	Speeches and Writings File, 1849-1947; Books; The Red Cross; Drafts, 1884-1898, undated	1884	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0008_0119/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-red-cross-miscellany-1892-1898-undated	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0100/106_0120_0139.txt	Speeches and Writings File, 1849-1947; Books; The Red Cross; Miscellany, 1892, 1898, undated	1892	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0120_0139/；整卷众包转录全文	en	P1	HIS-OWN	lane=decisions. LOC 众包转录全文。卷内含她署名的公开声明，逐字读出：'Miss Clara Barton, President of American National Red Cross, makes the following statement to the American people: "To The American People: ..."'，另有她为该书编排篇目的手写清单。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-red-cross-printed-copy-including-annotations	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0100/106_0141_0446.txt	Speeches and Writings File, 1849-1947; Books; The Red Cross; Printed copy, including annotations, 1877-1899	1877	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0141_0446/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-red-cross-proofs-including-annotations-1877	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0400/106_0447_0480.txt	Speeches and Writings File, 1849-1947; Books; The Red Cross; Proofs, including annotations, 1877	1877	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0447_0480/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-story-of-my-childhood-contract-1907	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0400/106_0481_0483.txt	Speeches and Writings File, 1849-1947; Books; The Story of My Childhood; Contract, 1907	1907	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0481_0483/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=decisions. LOC 众包转录全文。出版社格式合同。正文首句逐字：'This agreement made this 18th day of July, 1887, by and between the Journal Publishing Company ... and Clara Barton of Glen Echo'——★ 注意合同正文写的是 1887，而 LOC 卷题写 1907，两者不合，故第 4 列取卷题年份并在此点明分歧。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-story-of-my-childhood-correspondence-1904-19	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0400/106_0484_0507.txt	Speeches and Writings File, 1849-1947; Books; The Story of My Childhood; Correspondence, 1904-1908; 1922	1904	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0484_0507/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. LOC 众包转录全文。★ 分档决定：这是**两面往还**的信件卷，不是她的单向书信集，文件级别不列 P1。实测：整卷中单独成行、署名为她本人的落款 2 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 13 处。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-story-of-my-childhood-drafts-handwritten-cop	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0500/106_0508_0541.txt	Speeches and Writings File, 1849-1947; Books; The Story of My Childhood; Drafts; Handwritten copy, undated	undated	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0508_0541/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-story-of-my-childhood-drafts-typescript-unda	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0500/106_0542_0586.txt	Speeches and Writings File, 1849-1947; Books; The Story of My Childhood; Drafts; Typescript, undated	undated	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0542_0586/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-story-of-my-childhood-miscellany-1907-1908-u	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0500/106_0587_0599.txt	Speeches and Writings File, 1849-1947; Books; The Story of My Childhood; Miscellany, 1907-1908, undated	1907	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0587_0599/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=decisions. LOC 众包转录全文。出版社（The Journal Publishing Co., Meriden, Conn.）的版税结算单与信笺，不是她的文字。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-books-the-story-of-my-childhood-research-material-1850	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0600/106_0600_0605.txt	Speeches and Writings File, 1849-1947; Books; The Story of My Childhood; Research material, 1850, undated	1850	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0600_0605/；整卷众包转录全文	en	P1	HIS-OWN	lane=writings. LOC 众包转录全文。她本人的文章与著作草稿、清样、印本。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-poetry-1854-1909-undated	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/110/0100/110_0130_0166.txt	Speeches and Writings File, 1849-1947; Poetry, 1854-1909, undated	1854	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.110_0130_0166/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的诗稿。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
sw-poetry-1864-1909	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/106/0700/106_0711_0755.txt	Speeches and Writings File, 1849-1947; Poetry; 1864-1909	1864	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.106_0711_0755/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. LOC 众包转录全文。她本人的诗稿。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
